country_code,X,fertility_rate_children_per_woman,carbon_dioxide_emissions,cell_subs_per_100,employment_to_pop_ratio,female_employment_to_pop_ratio,lowest_quint_income_share.csv,maternal_mortality,percent_children_malaria_nets,unmet_family_planning_need,urban_pop_in_slums,women_men_literacy_ratio,net_migration_per_1000
LSO,105,3.26,NA,101.8983929,49.2,41.7,NA,NA,NA,18.4,50.8,NA,-4.01
LTU,106,1.594,14182.47342,147.0432509,51.2,47.4,NA,NA,NA,18,NA,NA,-9.334
LUX,107,1.546,10870.10845,148.3714353,55.9,49.1,NA,NA,NA,NA,NA,NA,17.512
LVA,108,1.497,7434.899982,124.1970672,52.4,48,NA,NA,NA,16.8,NA,NA,-7.925
MAC,109,1.192,NA,322.5915365,71,65.7,NA,NA,NA,NA,NA,NA,16.628
MAR,110,2.6,NA,131.713056,44.1,22.3,NA,112,NA,10.9,13.1,NA,-3.592
MCO,197,NA,83.21670036,88.46477171,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,111,1.269,NA,107.9952216,38.4,36.5,NA,63.5,NA,9.5,NA,1,-2.325
MDG,112,4.4,NA,38.21891025,NA,NA,NA,NA,61.5,19,77.2,NA,-0.076
MDV,113,2.223,NA,189.3831136,NA,NA,NA,NA,NA,28.6,NA,NA,10.533
MEX,114,2.29,NA,82.54324957,57.5,42.2,4.86,NA,NA,9.8,11.1,1.003132037,-0.436
MHL,210,NA,NA,29.37163647,NA,NA,NA,0,NA,8.1,NA,NA,NA
MKD,115,1.503,NA,109.1001663,39.7,31.6,NA,4.22,NA,17.2,NA,0.99686,-0.716
MLI,116,6.35,NA,149.0238884,NA,NA,NA,NA,45.6,26,56.3,NA,-1.447
MLT,117,1.414,2806.661599,126.9833963,49.8,37.3,NA,NA,NA,NA,NA,NA,3.223
MMR,118,2.3,NA,49.47175818,NA,NA,NA,NA,11.1,19.1,41,0.99613,-5.948
MNE,119,1.71,NA,163.0293689,40.2,34.4,NA,NA,NA,21.8,NA,NA,-0.22
MNG,120,2.833,NA,105.0609857,58.3,53.7,NA,88.3,NA,16,42.67,NA,-1.145
MOZ,121,5.45,NA,69.67187332,61.8,62.7,NA,NA,35.7,28.5,80.3,NA,-0.354
MRT,122,4.882,NA,94.19928487,NA,NA,NA,NA,18.4,31.1,79.9,NA,0.594
MSR,211,NA,NA,87.6338851,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTQ,123,1.952,NA,NA,36.1,33.9,NA,NA,NA,NA,NA,0.9988,-7.128
MUS,124,1.486,NA,132.2498241,54.9,39.9,7.39,NA,NA,3.5,NA,NA,-1.956
MWI,125,4.875,NA,30.4977722,NA,NA,NA,NA,65.5,19.4,66.7,NA,-0.522
MYS,126,2.106,NA,148.8298489,65,50.6,NA,28,NA,NA,NA,NA,5.291
MYT,127,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.068
NAM,128,3.6,NA,113.7562458,50,39,NA,NA,5.6,17.5,33.2,NA,-4.756
NCL,129,2.24,NA,93.56333518,NA,NA,NA,NA,NA,NA,NA,1.00257,3.501
NER,130,7.4,NA,44.43748576,NA,NA,NA,NA,20.1,16,70.08,0.436032174,-0.379
NGA,131,5.74,NA,77.84154715,NA,NA,NA,NA,25.4,18.9,50.2,NA,-0.403
NIC,132,2.318,NA,114.5655993,NA,NA,NA,NA,NA,10.7,NA,NA,-5.577
NIU,220,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
NLD,133,1.732,165261.7199,116.4234077,60.8,56.4,NA,NA,NA,NA,NA,NA,0.795
NOR,134,1.819,44123.19346,116.5131491,68.7,66.7,NA,NA,NA,NA,NA,NA,6.868
NPL,135,2.318,NA,82.48728874,NA,NA,NA,281,NA,27.5,54.3,NA,-7.777
NRU,221,NA,NA,NA,NA,NA,NA,300,NA,23.5,NA,NA,NA
NZL,136,2.036,34258.19742,112.0546897,64.1,58.6,NA,NA,NA,NA,NA,NA,2.935
OMN,137,2.9,NA,157.7532566,NA,NA,NA,13.4,NA,55.9,NA,NA,19.234
PAK,138,3.72,NA,73.33219105,NA,NA,NA,NA,0.2,20.1,45.5,NA,-1.721
PAN,139,2.6,NA,158.0542825,61,45.8,3.2,40,NA,16.4,25.8,NA,1.276
PER,140,2.5,NA,102.9158073,72,62.9,4.22,103,NA,9,34.2,0.999558508,-3.44
PHL,141,3.05,NA,111.2187234,59.4,NA,5.89,162,NA,17.5,38.3,NA,-3.333
PLW,212,NA,NA,90.60055932,NA,NA,NA,0,NA,NA,NA,1.000344291,NA
PNG,142,3.838,NA,44.92845743,NA,NA,NA,711,NA,27.4,NA,1.13454,-0.03
POL,143,1.334,320861.6671,156.4493733,50.2,42.9,NA,NA,NA,NA,NA,1,-0.931
PRI,144,1.52,NA,87.11106333,35.6,29.5,NA,NA,NA,4,NA,NA,-7.38
PRK,145,1.95,NA,11.18810123,NA,NA,NA,NA,NA,14.5,NA,NA,-0.204
PRT,146,1.283,50411.75642,111.796269,49.7,46.2,NA,NA,NA,NA,NA,NA,1.737
PRY,147,2.599,NA,105.604533,66.8,55,4.06,127.3,NA,4.7,NA,NA,-3.908
PSE,213,NA,NA,72.07515264,33.4,11.2,NA,NA,NA,15.6,NA,0.998811401,NA
PYF,148,2.071,NA,85.65761967,NA,NA,NA,NA,NA,NA,NA,NA,-2.65
QAT,149,2,NA,145.7647461,86.9,52.3,NA,22.4,NA,12.4,NA,1.011643558,127.251
REU,150,2.4,NA,NA,36.6,31.7,NA,NA,NA,NA,NA,1.00265,-3.063
ROU,151,1.484,83860.59338,105.91415,51.1,44,8.91,NA,NA,11.9,NA,NA,-7.4
RUS,152,1.698,1658872.051,155.144239,64.8,60.1,NA,22,NA,8,NA,NA,3.009
RWA,153,4.2,NA,64.02469114,NA,NA,NA,NA,67.7,20.8,53.2,NA,-1.645
SAU,154,2.725,NA,179.5611716,51.1,16,NA,14.6,NA,NA,NA,0.998351135,7.754
SDN,155,4.75,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,-6.604
SEN,156,5,NA,98.84217748,NA,NA,NA,NA,43.2,29.3,39.4,NA,-2.748
SGP,157,1.233,NA,158.1301198,64.1,55.3,NA,NA,NA,NA,NA,0.99995954,18.786
SLB,158,4.058,NA,65.75650459,NA,NA,NA,146,40,11.1,NA,NA,-4.769
SLE,159,4.842,NA,76.65603826,NA,NA,NA,NA,49,25,75.6,0.7513,1.981
SLV,160,2.17,NA,144.0256764,59.9,47,5.7,NA,NA,18.4,NA,NA,-9.371
SMR,214,NA,NA,118.8481841,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOM,161,6.61,NA,50.89929334,NA,NA,NA,NA,11,NA,73.6,NA,-3.317
SRB,162,1.591,NA,122.132822,37.7,30.8,NA,NA,NA,14.9,NA,0.99963,-2.552
STP,163,4.668,NA,64.93769014,NA,NA,NA,NA,56,37.6,86.6,NA,-6.778
SUR,164,2.46,NA,170.5749874,NA,NA,NA,79.2,43.4,16.9,7.3,NA,-2.531
SVK,165,1.39,35351.62832,116.9401341,50.9,43.6,NA,NA,NA,NA,NA,NA,-0.328
SVN,166,1.575,15674.75864,112.0830105,51.5,47.3,NA,NA,NA,9.2,NA,1.00095,3.894
SWE,167,1.902,45713.25184,127.8377463,65.7,63.3,NA,NA,NA,NA,NA,NA,5.697
SWZ,168,3.3,NA,72.31972132,NA,NA,NA,NA,1.5,13,32.7,NA,-1.04
SYC,169,2.38,NA,162.1932137,NA,NA,NA,NA,NA,NA,NA,1.006112906,-5.575
